target,word,count
ma,space,29
ma,japanese,15
ma,concept,15
ma,ishi,12
ma,ai,12
ma,experience,12
ma,literally,11
ma,room,10
ma,mean,9
ma,design,8
mu,kōan,5
mu,japanese,5
mu,use,5
mu,concept,5
mu,essence,4
mu,point,4
mu,void,4
mu,nature,3
mu,mean,3
mu,oval,3
wabi,aesthetic,46
wabi,japanese,36
wabi,design,20
wabi,beauty,18
wabi,tea,17
wabi,style,15
wabi,world,12
wabi,art,12
wabi,ideal,11
wabi,sense,11
sabi,aesthetic,44
sabi,japanese,35
sabi,beauty,20
sabi,design,18
sabi,imperfection,12
sabi,art,11
sabi,object,10
sabi,world,10
sabi,ideal,10
sabi,style,10
en,yard,20
en,kenroku,14
en,sankei,10
en,japanese,9
en,building,6
en,kōraku,5
en,lantern,5
en,know,5
en,low,5
en,run,5
engawa,space,13
engawa,house,9
engawa,outside,7
engawa,japanese,7
engawa,traditional,7
engawa,veranda,6
engawa,use,6
engawa,building,6
engawa,yard,5
engawa,run,5
shōji,paper,43
shōji,slide,40
shōji,use,33
shōji,door,29
shōji,glass,22
shōji,screen,18
shōji,panel,18
shōji,window,14
shōji,room,14
shōji,groove,14
fusuma,slide,14
fusuma,use,13
fusuma,door,12
fusuma,room,10
fusuma,paper,6
fusuma,screen,6
fusuma,panel,5
fusuma,separate,4
fusuma,opaque,4
fusuma,space,3
tokonoma,room,14
tokonoma,alcove,13
tokonoma,display,7
tokonoma,recess,7
tokonoma,tea,7
tokonoma,build,6
tokonoma,japanese,5
tokonoma,tatami,5
tokonoma,painting,4
tokonoma,scroll,4
chigaidana,shelf,5
chigaidana,build,4
chigaidana,room,2
chigaidana,shoin,2
chigaidana,object,2
chigaidana,wall,2
chigaidana,set,1
chigaidana,decorate,1
chigaidana,thing,1
chigaidana,arise,1
doma,house,4
doma,floor,4
doma,space,4
doma,area,4
doma,raise,3
doma,living,3
doma,service,3
doma,earthen,2
doma,adjacent,2
doma,earthfloored,2
genkan,entrance,4
genkan,hall,3
genkan,vestibule,2
genkan,room,1
genkan,include,1
genkan,foyer,1
genkan,butsuma,1
genkan,naka,1
genkan,oku,1
genkan,emerge,1
tomeishi,sekimori,3
tomeishi,ishi,3
tomeishi,stop,2
tomeishi,stone,2
tomeishi,yard,2
tomeishi,dear,1
tomeishi,miranda,1
tomeishi,duly,1
tomeishi,divert,1
tomeishi,use,1
ikezuishi,word,2
ikezuishi,malicious,2
ikezuishi,corner,2
ikezuishi,stone,2
ikezuishi,find,2
ikezuishi,kyōto,2
ikezuishi,use,2
ikezuishi,compose,1
ikezuishi,ikezu,1
ikezuishi,mean,1
shakkei,yard,19
shakkei,scenery,17
shakkei,borrow,12
shakkei,use,8
shakkei,technique,6
shakkei,example,4
shakkei,know,4
shakkei,japanese,4
shakkei,yarding,4
shakkei,concept,4
roji,yard,4
roji,tea,3
roji,development,3
roji,house,2
roji,alternatively,2
roji,refer,2
roji,tooridoma,2
roji,toori,2
roji,room,1
roji,amenity,1
torii,shrine,42
torii,myōjin,17
torii,shinmei,15
torii,style,15
torii,inari,14
torii,entrance,13
torii,miwa,13
torii,shinto,12
torii,buddhist,11
torii,pillar,11
shimenawa,taiwan,7
shimenawa,japan,6
shimenawa,use,5
shimenawa,rope,4
shimenawa,know,4
shimenawa,sacred,3
shimenawa,consist,3
shimenawa,mail,3
shimenawa,cros,3
shimenawa,beam,3
tsuboniwa,yard,11
tsuboniwa,small,5
tsuboniwa,space,4
tsuboniwa,find,4
tsuboniwa,tsubo,3
tsuboniwa,contain,3
tsuboniwa,courtyard,3
tsuboniwa,feature,3
tsuboniwa,japanese,2
tsuboniwa,unit,2
byōbu,panel,8
byōbu,screen,6
byōbu,painting,5
byōbu,produce,5
byōbu,period,5
byōbu,fold,4
byōbu,right,4
byōbu,art,4
byōbu,use,3
byōbu,decorate,3
hisashi,surround,13
hisashi,moya,12
hisashi,ken,10
hisashi,roof,9
hisashi,wide,8
hisashi,core,8
hisashi,aisle,7
hisashi,cover,7
hisashi,pent,6
hisashi,veranda,5
haiden,hall,11
haiden,worship,9
haiden,century,5
haiden,offering,4
haiden,prayer,4
haiden,oratory,4
haiden,roof,3
haiden,offer,3
haiden,usually,3
haiden,wide,3
sandō,rear,11
sandō,entrance,11
sandō,omote,9
sandō,main,9
sandō,approach,8
sandō,shrine,8
sandō,ura,8
sandō,road,5
sandō,komainu,5
sandō,lead,4
aware,mono,12
aware,japanese,11
aware,thing,7
aware,term,5
aware,aesthetic,5
aware,world,4
aware,design,4
aware,use,4
aware,transience,4
aware,distinct,3
honden,shrine,37
honden,example,13
honden,taisha,13
honden,ken,12
honden,kami,10
honden,zukuri,9
honden,roof,9
honden,style,8
honden,building,7
honden,sanctuary,6
chashitsu,tea,20
chashitsu,room,13
chashitsu,tatami,7
chashitsu,build,6
chashitsu,design,5
chashitsu,mat,5
chashitsu,ceremony,5
chashitsu,small,5
chashitsu,use,5
chashitsu,villa,4
karesansui,yard,13
karesansui,rock,8
karesansui,dry,5
karesansui,zen,4
karesansui,japanese,4
karesansui,landscape,4
karesansui,place,3
karesansui,gravel,2
karesansui,ryōan,2
karesansui,ji,2
